Drug_ID	Drug	Y
444	"CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C"	0
1051	"CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O"	1
1130	"CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO"	1
1923	"C1=CC2=C(C(=C1)O)N=CC=C2"	0
2239	"CC(C)(C)NCC(CSC1=NC(=CS1)C2=CC=C(S2)C(=O)N)O"	1
2451	"CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl"	0
2477	"C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4"	0
2520	"CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC"	0
2883	"CCN(C1=CC=CC=C1C)C(=O)C=CC"	0
3038	"C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N"	1
3108	"C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO"	0
3117	"CCN(CC)C(=S)SSC(=S)N(CC)CC"	0
3293	"CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C"	0
3698	"C1=CN=CC=C1C2=CNC(=O)C(=C2)N"	1
3741	"C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO"	1
3961	"CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl"	1
4006	"CC(C)OC(=O)C(=C1SC=CS1)C(=O)OC(C)C"	0
4091	"CN(C)C(=N)N=C(N)N"	1
4139	"CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2"	1
4513	"CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C"	1
4946	"CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O"	0
5143	"C1=CC=C2C(=C1)C(=O)NS2(=O)=O"	1
5154	"C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6"	0
5340	"C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2"	1
5508	"CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)[O-]"	1
5531	"CCN(CC)C1=CC(=NC2=NC=NN12)C"	1
5585	"CC1=CC(=O)OC2=C1C=C3C=C(OC3=C2C)C"	0
5625	"CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C"	1
5746	"CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N"	1
5920	"C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O"	1
6037	"C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N"	1
6076	"C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O"	1
7619	"C1COCCN1SC2=NC3=CC=CC=C3S2"	1
8522	"CC1=C(C(=O)N(N1C)C2=CC=CC=C2)I"	1
10219	"CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC"	0
10579	"CCN1C2=CC=CC=C2SC1=CC=CC=CC3=[N+](C4=CC=CC=C4S3)CC"	1
14982	"C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O)C)(C)C(=O)O"	1
15763	"CCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl"	1
18087	"CC1=C(C(=O)C(=C(N1)C)Cl)Cl"	1
23897	"CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C"	0
26098	"CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C"	0
35370	"CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-]"	1
44564	"C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N"	1
50112	"CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)O[C@H]3[C@H]([C@H]([C@@H]([C@@H](O3)CO)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCN[C@@H](C)C7=CC=CC=C7)O"	1
50294	"CCCC1=C2C(=CC3=C1OC(=CC3=O)C(=O)O)C(=O)C=C(N2CC)C(=O)O"	1
55245	"CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O"	0
60651	"CN1CCN(CC1)C2=C(C=C3C4=C2OCN(N4C=C(C3=O)C(=O)O)C)F"	1
60855	"CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@@H]([C@@H](CO)O)O)C(=O)O)N=C(N)N"	1
