Drug_ID	Drug	Y
2466	"CCCCOC1=CC=C(C=C1)CC(=O)NO"	1
1259573	"COC1=C(C=C(C=C1)CCN2C(=CC(=O)NC2=S)N)OC"	0
1275864	"COC1=C(C=C(C=C1)Cl)C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CO3"	1
4878	"CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N"	1
2030130	"CN1C2=CC=CC=C2C(=O)C3=C1N=C(N(C3=O)C4=CC=CC=C4)C5CCCCC5"	1
4422695	"CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)O)S(=O)(=O)N3CCOCC3"	1
1131802	"COC1=CC(=CC(=C1O)OC)C2=NC(=C(N2)C3=CC=CS3)C4=CC=CC=C4"	1
759785	"CN(C)C1=C2C(=C(SC2=NC=C1)C(=O)N)N"	1
2886111	"CC(C)(C)C1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=NC=C3"	1
1489415	"C1=CC=C2C(=C1)C(=N)N(N=N2)C3=CC=C(C=C3)C(F)(F)F"	1
1075912	"C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O"	0
15740787	"C[N+]1=C2N(C3=CC=CC=C31)N=C(CS2)C4=CC=C(C=C4)OC.[Br-]"	0
16682542	"CCO.C1=CC=C2C=C(C=CC2=C1)SC3=CC4=C(C=C3)N=C(N=C4N)N"	1
4880352	"C1=CC=NC(=C1)C2=CSC(=N2)NC(=O)C3=CC(=CC=C3)N4C=NN=N4"	1
1955100	"CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4)C(=O)O"	1
2985259	"C1CN(CCN1C2=CC=C(C=C2)NC(=O)C3=CC(=CN=C3)Br)C(=O)C4=CC=CC=C4F"	1
6461311	"C1CC1C(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3O"	1
16397347	"CC(C)C(C(=O)O)NC(=O)CNC(=O)CO/N=C/1\CC[C@@]2(C3CC[C@]4(C(C3CCC2=C1)CCC4(C#C)O)C)C"	0
741756	"CS(=O)(=O)C1=CC2=C(C=C1)N=C(S2)NC(=O)C3CC3"	1
23604753	"CC1=NC2=C(C=NN2C(=C1C3=CC=CC=C3)N)C4=CC=CC=C4"	1
434973	"CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O"	1
277845	"C1CCC(=O)C2=CC(=C(C=C2C1)O)O"	1
3234914	"CS(=O)(=O)NC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3"	1
3235438	"C1=CC=C(C(=C1)C2=NC=CC(=N2)N3C=CN=C3)Cl"	1
3235557	"CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3N4CCC(CC4)C(=O)O"	0
79472	"CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl"	0
3246218	"C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)NCCO"	0
256519	"CC1(C=CC2=C3C(=C(C(=C2O1)CCC(=O)O)OC)C=CC(O3)(C)C)C"	1
92180	"CC(=CCNC1=NC=NC2=C1NC=N2)C"	1
269325	"CC1=NC(=NC2=CC=CC=C12)N"	1
3246430	"C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)N)N"	0
284708	"C1=CNC(=C1)C(=O)C2=C(C=CC(=C2)Cl)NC(=O)CN"	1
3246541	"CN1CCC2=CC(=C3C4=C2[C@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@H]7C8=CC(=C(O3)C=C8CCN7)O4)OC)OC"	1
67532	"C1=C(C=C(C(=C1Br)O)Br)C[C@@H](C(=O)O)N"	0
5281708	"C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O"	0
9363	"CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC"	1
53708	"CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC"	1
3343	"CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O"	0
53276	"CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N"	1
5034	"C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2"	1
3825	"CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O"	0
262093	"C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO"	1
5353685	"COC1=C(C(=CC(=C1)/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)I)O"	0
5280445	"C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O"	1
